movie,year,rating,genre,imdb,votes,grosses,runtime_min
The Boys,19– ,,[''],8.7,177855.0,,60
Cobra Kai,18– ,,[''],8.7,65246.0,,30
The Babysitter: Killer Queen,2020,,[''],5.9,14359.0,,101
The Babysitter,2017,,[''],6.3,65462.0,,85
Julie and the Phantoms,20– ,,[''],8.4,2047.0,,0
Fast Times at Ridgemont High,1982,,[''],7.2,91460.0,27092880.0,90
The Office,2013,,[''],8.9,380701.0,,22
Bill & Ted Face the Music,2020,PG-13,"['Adventure', ' Comedy', ' Music']",6.3,17391.0,,91
The Duchess,20– ,,[''],6.8,2024.0,,0
Ted Lasso,20– ,,[''],8.7,8095.0,,30
Schitt's Creek,2020,,[''],8.4,42917.0,,22
Friends,2004,,[''],8.9,787486.0,,22
Hubie Halloween,2020,PG-13,"['Comedy', ' Mystery']",,,,102
Shameless,11– ,,[''],8.6,194286.0,,46
New Girl,2018,,[''],7.7,183144.0,,22
Community,2015,,[''],8.5,206616.0,,22
Knives Out,2019,PG-13,"['Comedy', ' Crime', ' Drama']",7.9,389805.0,165359751.0,130
The Big Bang Theory,2019,,[''],8.1,701637.0,,22
Freaky,2020,R,"['Comedy', ' Horror', ' Thriller']",,,,0
Modern Family,2020,,[''],8.4,340594.0,,22
Brooklyn Nine-Nine,13– ,,[''],8.4,207437.0,,22
"Love, Guaranteed",2020,,[''],5.5,7706.0,,90
Parks and Recreation,2020,,[''],8.6,204004.0,,22
Suits,2019,,[''],8.5,354174.0,,44
Girlfriends,2008,,[''],7.0,3392.0,,30
Gilmore Girls,2007,,[''],8.1,95658.0,,44
Archer,09– ,,[''],8.6,133955.0,,22
Pets United,2019,,[''],3.4,744.0,,89
Kingsman: The Golden Circle,2017,R,"['Action', ' Adventure', ' Comedy']",6.7,264076.0,100234838.0,141
Gisaengchung,2019,R,"['Comedy', ' Drama', ' Thriller']",8.6,481560.0,53367844.0,132
Once Upon a Time... in Hollywood,2019,R,"['Comedy', ' Drama']",7.6,513540.0,142502728.0,161
How I Met Your Mother,2014,,[''],8.3,585155.0,,22
Woke,20– ,,[''],6.3,1253.0,,0
Doom Patrol,19– ,,[''],8.0,30699.0,,60
PEN15,19– ,,[''],7.9,4305.0,,30
Misfits,2013,,[''],8.2,91104.0,,60
"Sister, Sister",1999,,[''],6.2,10606.0,,30
Jojo Rabbit,2019,PG-13,"['Comedy', ' Drama', ' War']",7.9,260247.0,349555.0,108
Bones,2017,,[''],7.8,136319.0,,40
It's Always Sunny in Philadelphia,05– ,,[''],8.8,185312.0,,22
Unpregnant,2020,PG-13,"['Comedy', ' Drama']",6.1,1793.0,,103
The Legend of Korra,2014,,[''],8.4,97600.0,,23
The Gentlemen,2019,R,"['Action', ' Comedy', ' Crime']",7.9,184702.0,,113
Glee,2015,,[''],6.7,134380.0,,44
This Is Us,16– ,,[''],8.7,96981.0,,45
The Simpsons,89– ,,[''],8.7,356855.0,,22
Bill & Ted's Excellent Adventure,1989,,[''],7.0,114492.0,40485039.0,90
The Peanut Butter Falcon,2019,PG-13,"['Comedy', ' Drama']",7.6,54970.0,13122642.0,97
Trolls World Tour,2020,PG,"['Animation', ' Adventure', ' Comedy']",6.1,12809.0,,90
Seinfeld,1998,,[''],8.8,247470.0,,22
The Broken Hearts Gallery,2020,PG-13,"['Comedy', ' Romance']",6.6,631.0,,108
Rick and Morty,13– ,,[''],9.2,355349.0,,23
Back to the Future,1985,,[''],8.5,1031250.0,210609762.0,116
Deadpool 2,2018,R,"['Action', ' Adventure', ' Comedy']",7.7,462871.0,324591735.0,119
