movie,year,rating,genre,imdb,metascore,votes,grosses,n_imdb,runtime_min
The Babysitter: Killer Queen,2020,,"['Comedy', ' Horror']",5.9,22,14346,,59,101
Fast Times at Ridgemont High,1982,,"['Comedy', ' Drama']",7.2,61,91457,27092880.0,72,90
Bill & Ted Face the Music,2020,PG-13,"['Adventure', ' Comedy', ' Music']",6.3,65,17382,,63,91
Knives Out,2019,PG-13,"['Comedy', ' Crime', ' Drama']",7.9,82,389791,165359751.0,79,130
"Love, Guaranteed",2020,,"['Comedy', ' Romance']",5.5,39,7701,,55,90
Kingsman: The Golden Circle,2017,R,"['Action', ' Adventure', ' Comedy']",6.7,44,264072,100234838.0,67,141
Gisaengchung,2019,R,"['Comedy', ' Drama', ' Thriller']",8.6,96,481544,53367844.0,86,132
Once Upon a Time... in Hollywood,2019,R,"['Comedy', ' Drama']",7.6,83,513532,142502728.0,76,161
Jojo Rabbit,2019,PG-13,"['Comedy', ' Drama', ' War']",7.9,58,260231,349555.0,79,108
Unpregnant,2020,PG-13,"['Comedy', ' Drama']",6.1,66,1790,,61,103
The Gentlemen,2019,R,"['Action', ' Comedy', ' Crime']",7.9,51,184691,,79,113
Bill & Ted's Excellent Adventure,1989,,"['Adventure', ' Comedy', ' Music']",7.0,50,114490,40485039.0,70,90
The Peanut Butter Falcon,2019,PG-13,"['Comedy', ' Drama']",7.6,70,54963,13122642.0,76,97
Trolls World Tour,2020,PG,"['Animation', ' Adventure', ' Comedy']",6.1,51,12808,,61,90
The Broken Hearts Gallery,2020,PG-13,"['Comedy', ' Romance']",6.6,57,631,,66,108
Back to the Future,1985,,"['Adventure', ' Comedy', ' Sci-Fi']",8.5,87,1031245,210609762.0,85,116
Deadpool 2,2018,R,"['Action', ' Adventure', ' Comedy']",7.7,66,462864,324591735.0,77,119
The Goonies,1985,,"['Adventure', ' Comedy', ' Family']",7.8,62,238514,61503218.0,78,114
Almost Famous,2000,R,"['Adventure', ' Comedy', ' Drama']",7.9,90,248280,32534850.0,79,122
The King of Staten Island,2020,R,"['Comedy', ' Drama']",7.1,67,23862,,71,136
Ready or Not,2019,R,"['Comedy', ' Horror', ' Mystery']",6.8,64,98694,26744177.0,68,95
Jumanji: The Next Level,2019,PG-13,"['Action', ' Adventure', ' Comedy']",6.7,58,171869,316831246.0,67,123
A Million Ways to Die in the West,2014,R,"['Comedy', ' Western']",6.1,44,171892,43139300.0,61,116
Deadpool,2016,R,"['Action', ' Adventure', ' Comedy']",8.0,65,884435,363070709.0,80,108
Eurovision Song Contest: The Story of Fire Saga,2020,PG-13,"['Comedy', ' Music']",6.5,50,64562,,65,123
Palm Springs,2020,R,"['Comedy', ' Fantasy', ' Mystery']",7.4,83,48841,,74,90
The One and Only Ivan,2020,PG,"['Animation', ' Adventure', ' Comedy']",6.7,58,5028,,67,95
Kingsman: The Secret Service,2014,R,"['Action', ' Adventure', ' Comedy']",7.7,60,580872,128261724.0,77,129
Spies in Disguise,2019,PG,"['Animation', ' Action', ' Adventure']",6.8,54,29474,,68,102
Thor: Ragnarok,2017,PG-13,"['Action', ' Adventure', ' Comedy']",7.9,74,567168,315058289.0,79,130
Scott Pilgrim vs. the World,2010,PG-13,"['Action', ' Comedy', ' Fantasy']",7.5,69,370206,31494270.0,75,112
Not Another Teen Movie,2001,R,['Comedy'],5.7,32,95895,38252284.0,57,89
Charlie and the Chocolate Factory,2005,PG,"['Adventure', ' Comedy', ' Family']",6.6,72,418177,206459076.0,66,115
Bad Boys for Life,2020,R,"['Action', ' Comedy', ' Crime']",6.6,59,114014,204417855.0,66,124
Charlie's Angels,2019,PG-13,"['Action', ' Adventure', ' Comedy']",4.8,52,50846,,48,118
Guardians of the Galaxy,2014,PG-13,"['Action', ' Adventure', ' Comedy']",8.0,76,1025628,333176600.0,80,121
The Sleepover,2020,,"['Action', ' Adventure', ' Comedy']",5.5,46,5534,,55,100
Bill & Ted's Bogus Journey,1991,,"['Adventure', ' Comedy', ' Fantasy']",6.3,60,66250,38037513.0,63,93
American Psycho,2000,R,"['Comedy', ' Crime', ' Drama']",7.6,64,475621,15070285.0,76,101
Beetlejuice,1988,PG,"['Comedy', ' Fantasy']",7.5,70,252813,73707461.0,75,92
The Big Lebowski,1998,R,"['Comedy', ' Crime', ' Sport']",8.1,71,716363,17498804.0,81,117
Jumanji: Welcome to the Jungle,2017,PG-13,"['Action', ' Adventure', ' Comedy']",6.9,58,310092,404515480.0,69,119
Hustlers,2019,R,"['Comedy', ' Crime', ' Drama']",6.3,79,77883,80553967.0,63,110
Моана,2016,PG,"['Animation', ' Adventure', ' Comedy']",7.6,81,262330,248757044.0,76,107
Frozen II,2019,PG,"['Animation', ' Adventure', ' Comedy']",6.9,64,124781,477373578.0,69,103
