movie,year,rating,genre,imdb,metascore,votes,grosses,n_imdb,runtime_min
Tenet,2020,PG-13,"['Action', ' Sci-Fi']",7.8,69,112715,,78,150
Dune,1984,,"['Action', ' Adventure', ' Sci-Fi']",6.5,40,123556,30925690.0,65,137
Bill & Ted Face the Music,2020,PG-13,"['Adventure', ' Comedy', ' Music']",6.3,65,17382,,63,91
The New Mutants,2020,PG-13,"['Action', ' Horror', ' Sci-Fi']",5.5,43,10827,,55,94
Interstellar,2014,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",8.6,74,1458686,188020017.0,86,169
Avengers: Endgame,2019,PG-13,"['Action', ' Adventure', ' Drama']",8.4,78,763013,858373000.0,84,181
Black Panther,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",7.3,88,605529,700059566.0,73,134
Inception,2010,PG-13,"['Action', ' Adventure', ' Sci-Fi']",8.8,74,2012633,292576195.0,88,148
Project Power,2020,R,"['Action', ' Crime', ' Sci-Fi']",6.0,51,53570,,60,113
Blade Runner 2049,2017,R,"['Action', ' Drama', ' Mystery']",8.0,81,443643,92054159.0,80,164
Bill & Ted's Excellent Adventure,1989,,"['Adventure', ' Comedy', ' Music']",7.0,50,114490,40485039.0,70,90
Back to the Future,1985,,"['Adventure', ' Comedy', ' Sci-Fi']",8.5,87,1031245,210609762.0,85,116
Deadpool 2,2018,R,"['Action', ' Adventure', ' Comedy']",7.7,66,462864,324591735.0,77,119
Avengers: Infinity War,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",8.4,68,801246,678815482.0,84,149
Terminator: Dark Fate,2019,R,"['Action', ' Adventure', ' Sci-Fi']",6.2,54,135109,62253077.0,62,128
Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",6.6,53,350299,515202542.0,66,141
Deadpool,2016,R,"['Action', ' Adventure', ' Comedy']",8.0,65,884435,363070709.0,80,108
The Prestige,2006,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",8.5,66,1160436,53089891.0,85,130
Mad Max: Fury Road,2015,R,"['Action', ' Adventure', ' Sci-Fi']",8.1,90,859460,154058340.0,81,120
The Matrix,1999,R,"['Action', ' Sci-Fi']",8.7,73,1637408,171479930.0,87,136
